,year,genre,rating,Director,Top_5_cast,Images
Mughal-E-Azam,(1960),"Drama, Romance, War",8.1,K. Asif,"['Prithviraj Kapoor', 'Madhubala', 'Dilip Kumar', 'Durga Khote']","https://m.media-amazon.com/images/M/MV5BMmM2YWQ3MzctOTk1NS00NThhLWExY2MtYjQzZGRmZTFiYWY3XkEyXkFqcGdeQXVyMjUxMTY3ODM@._V1_UY209_CR6,0,140,209_AL_.jpg"
Gulaal,(2009),"Crime, Drama, Thriller",8,Anurag Kashyap,"['Kay Kay Menon', 'Raj Singh Chaudhary', 'Raja Chaudhary', 'Jesse Randhawa']","https://m.media-amazon.com/images/M/MV5BYTMxYjEwYjctMjg4Ni00N2UyLThkNDEtNTY4ODExNmIzYjE5XkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_UY209_CR3,0,140,209_AL_.jpg"
Dor,(2006),Drama,7.9,Nagesh Kukunoor,"['Ayesha Takia', 'Shreyas Talpade', 'Gul Panag', 'Girish Karnad']","https://m.media-amazon.com/images/M/MV5BYTk3NTVhNjktYTg0OC00ODk1LWE4MjUtMDhkNTY3MTMyMTc0XkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_UY209_CR2,0,140,209_AL_.jpg"
Jab We Met,(2007),"Comedy, Drama, Romance",7.9,Imtiaz Ali,"['Shahid Kapoor', 'Kareena Kapoor', 'Tarun Arora', 'Dara Singh Randhawa']","https://m.media-amazon.com/images/M/MV5BYmIzYmY4MGItM2I4YS00OWZhLWFmMzQtYzI2MWY1MmM3NGU1XkEyXkFqcGdeQXVyNjQ2MjQ5NzM@._V1_UY209_CR2,0,140,209_AL_.jpg"
Pyaasa,(1957),"Drama, Musical, Romance",8.3,Guru Dutt,"['Guru Dutt', 'Waheeda Rehman', 'Mala Sinha', 'Rehman Khan']","https://m.media-amazon.com/images/M/MV5BYjkzODdhZjUtMjY0YS00ODA3LTkxMDUtM2JlYTQyMWE1NTMzXkEyXkFqcGdeQXVyMzg1ODEwNQ@@._V1_UY209_CR5,0,140,209_AL_.jpg"
The Legend of Bhagat Singh,(2002),"Action, Biography, Drama",8.1,Rajkumar Santoshi,"['Ajay Devgn', 'Sushant Singh', 'D. Santosh', 'Akhilendra Mishra']","https://m.media-amazon.com/images/M/MV5BODdhOWU3YjItM2JjYi00ODFkLWJjODgtNTU4ZWM0MTVlZGI3XkEyXkFqcGdeQXVyMTEzNzg0Mjkx._V1_UY209_CR3,0,140,209_AL_.jpg"
Masoom,(1983),"Drama, Family",8.4,Shekhar Kapur,"['Naseeruddin Shah', 'Shabana Azmi', 'Jugal Hansraj', 'Urmila Matondkar']","https://m.media-amazon.com/images/M/MV5BMjZjZGM1OGQtNDgyOS00M2Y4LWI2MDgtN2JjMTM1M2U0Mzk0XkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_UY209_CR8,0,140,209_AL_.jpg"
Salaam Bombay!,(1988),"Crime, Drama",7.9,Mira Nair,"['Shafiq Syed', 'Anjaan', 'Amrit Patel', 'Murari Sharma']","https://m.media-amazon.com/images/M/MV5BMWFlMjRhZmUtNzBjNC00NTdjLTlkNjItNWZmODdhODg4ZTlhXkEyXkFqcGdeQXVyMTMxMTY0OTQ@._V1_UX140_CR0,0,140,209_AL_.jpg"
Satya,(1998),"Action, Crime, Drama",8.3,Ram Gopal Varma,"['J.D. Chakravarthi', 'Manoj Bajpayee', 'Urmila Matondkar', 'Paresh Rawal']","https://m.media-amazon.com/images/M/MV5BMTMwMjk3MzA2OF5BMl5BanBnXkFtZTcwNjU2ODgzMQ@@._V1_UY209_CR4,0,140,209_AL_.jpg"
Vicky Donor,(2012),"Comedy, Romance",7.8,Shoojit Sircar,"['Ayushmann Khurrana', 'Yami Gautam', 'Annu Kapoor', 'Dolly Ahluwalia']","https://m.media-amazon.com/images/M/MV5BYWNlODE1ZTEtOTQ5MS00N2QwLTllNjItZDQ2Y2UzMmU5YmI2XkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_UY209_CR9,0,140,209_AL_.jpg"
