,year,genre,rating,Director,Top_5_cast,Images
Agneepath,(1990),"Action, Crime, Drama",7.6,Mukul Anand,"['Amitabh Bachchan', 'Mithun Chakraborty', 'Madhavi', 'Neelam Kothari']","https://m.media-amazon.com/images/M/MV5BOGIyNGNhN2EtYTZiNC00MDJjLWI2M2ItZjA1MTBlYmNiODNlXkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_UY209_CR10,0,140,209_AL_.jpg"
My Name Is Khan,(2010),"Adventure, Drama, Romance",7.9,Karan Johar,"['Shah Rukh Khan', 'Kajol', 'Sheetal Menon', 'Katie Amanda Keane']","https://m.media-amazon.com/images/M/MV5BMTUyMTA4NDYzMV5BMl5BanBnXkFtZTcwMjk5MzcxMw@@._V1_UY209_CR0,0,140,209_AL_.jpg"
Qayamat Se Qayamat Tak,(1988),"Drama, Musical, Romance",7.4,Mansoor Khan,"['Aamir Khan', 'Juhi Chawla', 'Goga Kapoor', 'Dalip Tahil']","https://m.media-amazon.com/images/M/MV5BZDAwM2E2YmEtN2I3Zi00NmY5LTkxNTAtODVmNmM4MmY2YTFjXkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_UY209_CR2,0,140,209_AL_.jpg"
3 Deewarein,(2003),"Crime, Drama",7.8,Nagesh Kukunoor,"['Naseeruddin Shah', 'Jackie Shroff', 'Juhi Chawla', 'Nagesh Kukunoor']","https://m.media-amazon.com/images/M/MV5BYmNjNmY0YjctNGQ4YS00MjI0LTk3NmUtNTU0YzZmZDI1ZDNhXkEyXkFqcGdeQXVyMjUxMTY3ODM@._V1_UY209_CR5,0,140,209_AL_.jpg"
Abhimaan,(1973),"Drama, Musical",7.8,Hrishikesh Mukherjee,"['Amitabh Bachchan', 'Jaya Bachchan', 'Govardhan Asrani', 'Bindu Desai']","https://m.media-amazon.com/images/M/MV5BYWU2ODYxYzktMTcwMy00YWM2LWExNmYtNzZlMjhmODU3Mzg5XkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_UY209_CR10,0,140,209_AL_.jpg"
Sarkar,(2005),"Action, Crime, Drama",7.6,Ram Gopal Varma,"['Amitabh Bachchan', 'Abhishek Bachchan', 'Kay Kay Menon', 'Supriya Pathak']","https://m.media-amazon.com/images/M/MV5BZTYwNGU2YzQtMDRjNS00MjlmLTk1MDEtMjBmYWQ3ZjY0NWRjXkEyXkFqcGdeQXVyNjQ2MjQ5NzM@._V1_UY209_CR7,0,140,209_AL_.jpg"
Bheja Fry,(2007),"Comedy, Drama",7.6,Sagar Ballary,"['Vinay Pathak', 'Rajat Kapoor', 'Sarika Thakur', 'Milind Soman']","https://m.media-amazon.com/images/M/MV5BODUzZmQ0YjMtZjVhYi00ODc1LWJjNWQtY2JjM2RmM2ZmMmI2XkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_UY209_CR4,0,140,209_AL_.jpg"
Mother India,(1957),"Action, Comedy, Drama",7.8,Mehboob Khan,"['Nargis', 'Sunil Dutt', 'Rajendra Kumar Tuli', 'Raaj Kumar']","https://m.media-amazon.com/images/M/MV5BMDNmZmI5MTYtOTYzMi00OGU0LTgwYTctNGI3YThmYTNhZWM1XkEyXkFqcGdeQXVyMzg1ODEwNQ@@._V1_UY209_CR4,0,140,209_AL_.jpg"
Jaane Tu... Ya Jaane Na,(2008),"Comedy, Drama, Romance",7.4,Abbas Tyrewala,"['Imran Khan', 'Genelia Deshmukh', 'Manjari Fadnnis', 'Ayaz Khan']","https://m.media-amazon.com/images/M/MV5BNDUxYTFiODktNDI5NC00YmI1LThiMWUtN2FjYTU2ZTQ5ODQ1XkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_UY209_CR2,0,140,209_AL_.jpg"
Delhi Belly,(2011),"Action, Comedy, Crime",7.5,Abhinay Deo,"['Akshat Verma', 'Imran Khan', 'Vir Das', 'Kunaal Roy Kapur', 'Shenaz Treasury']","https://m.media-amazon.com/images/M/MV5BZjJmOTNjNDgtY2E3ZC00OTRmLTlmYWItNjRkMzQ4NzZlY2M2XkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_UY209_CR2,0,140,209_AL_.jpg"
Wake Up Sid,(2009),"Comedy, Drama, Romance",7.6,Ayan Mukerji,"['Ranbir Kapoor', 'Konkona Sen Sharma', 'Supriya Pathak', 'Anupam Kher']","https://m.media-amazon.com/images/M/MV5BMDc1ZDBkODMtYjI0MC00NDcyLWFhMGUtYzM4NDQyMzgyYzg1XkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_UY209_CR2,0,140,209_AL_.jpg"
Rangeela,(1995),"Comedy, Drama, Musical",7.4,Ram Gopal Varma,"['Aamir Khan', 'Urmila Matondkar', 'Jackie Shroff', 'Gulshan Grover']","https://m.media-amazon.com/images/M/MV5BNmQxOWQ5NzgtMjVkNS00NDJiLTg1NzgtY2FkY2FlNzFjYTEwXkEyXkFqcGdeQXVyMTAxNjY4MzY2._V1_UY209_CR6,0,140,209_AL_.jpg"
Shatranj Ke Khilari,(1977),"Comedy, Drama, History",7.5,Satyajit Ray,"['Sanjeev Kumar', 'Saeed Jaffrey', 'Shabana Azmi', 'Farida Jalal']","https://m.media-amazon.com/images/M/MV5BMWJhYTY5Y2EtODU5NC00MzRmLWFhMDgtNmQ5OTE2YjBlMjNlXkEyXkFqcGdeQXVyNjMwMjk0MTQ@._V1_UY209_CR6,0,140,209_AL_.jpg"
Pyaar Ka Punchnama,(2011),"Comedy, Drama, Romance",7.6,Luv Ranjan,"['Kartik Aaryan', 'Ashish Chhipa', 'Raayo S. Bakhirta', 'Divyendu Sharma']","https://m.media-amazon.com/images/M/MV5BNDI4MmJkM2ItYjZjMC00MzYxLWIwZWEtYzE5YWZhYmExM2I5XkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_UY209_CR2,0,140,209_AL_.jpg"
Ek Hasina Thi,(2004),"Action, Crime, Drama",7.5,Sriram Raghavan,"['Saif Ali Khan', 'Urmila Matondkar', 'Seema Biswas', 'Aditya Srivastav']","https://m.media-amazon.com/images/M/MV5BYjhiZmZjYTAtY2M4Zi00YWMzLTg0YTctZjVhOTc0MjhkYTRhXkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_UY209_CR2,0,140,209_AL_.jpg"
